,train_no,train_name,source,destination,train_link
0,15609,Abadh Assam Express,Guwahati,Lalgarh Junction,https://www.prokerala.com//travel/indian-railway/trains/abadh-assam-express-20.html
1,58719,Abhanpur Rajim NG Passenger,Abhanpur Junction,Rajim,https://www.prokerala.com//travel/indian-railway/trains/abhanpur-rajim-ng-passenger-5172.html
2,58721,Abhanpur Rajim NG Passenger,Abhanpur Junction,Rajim,https://www.prokerala.com//travel/indian-railway/trains/abhanpur-rajim-ng-passenger-5174.html
3,54703,Abohar Jodhpur Passenger,Abohar,Jodhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/abohar-jodhpur-passenger-4119.html
4,79438,Abu Road Mahesana  DEMU,Abu Road,Mehsana Junction,https://www.prokerala.com//travel/indian-railway/trains/abu-road-mahesana-demu-7437.html
5,55338,Achhnera Kasganj Fast Passenger,Achhnera Junction,Kasganj,https://www.prokerala.com//travel/indian-railway/trains/achhnera-kasganj-fast-passenger-4360.html
6,22188,Adhartal Habibganj Intercity Express,Adhartal,Bhopal Habibganj,https://www.prokerala.com//travel/indian-railway/trains/adhartal-habibganj-intercity-express-2665.html
7,17409,Adilabad Hazur Sahib Nanded Express,Adilabad,Nanded,https://www.prokerala.com//travel/indian-railway/trains/adilabad-hazur-sahib-nanded-express-3022.html
8,07501,Adilabad Pandharpur Ekadashi Special,Adilabad,Pandharpur,https://www.prokerala.com//travel/indian-railway/trains/adilabad-pandharpur-ekadashi-special-9952.html
9,57554,Adilabad Parli Vaijnath Passenger,Adilabad,Parli Vaijnath,https://www.prokerala.com//travel/indian-railway/trains/adilabad-parli-vaijnath-passenger-4989.html
10,57552,Adilabad Purna Passenger,Adilabad,Purna Junction,https://www.prokerala.com//travel/indian-railway/trains/adilabad-purna-passenger-4987.html
11,58019,Adra - Asansol Passenger,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-passenger-5051.html
12,58621,Adra - Barkakana Passenger,Adra Junction,Barkakana,https://www.prokerala.com//travel/indian-railway/trains/adra-barkakana-passenger-5158.html
13,58602,Adra - Kharagpur Passenger,Adra Junction,Kharagpur Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-kharagpur-passenger-5155.html
14,68045,Adra Asansol Memu,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-memu-9486.html
15,68061,Adra Asansol MEMU,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-memu-6577.html
16,68063,Adra Asansol MEMU,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-memu-6579.html
17,68065,Adra Asansol MEMU,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-memu-6581.html
18,68067,Adra Asansol MEMU,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-memu-6583.html
19,68069,Adra Asansol MEMU,Adra Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-asansol-memu-6585.html
20,68053,Adra Barabhum MEMU,Adra Junction,Barabhum,https://www.prokerala.com//travel/indian-railway/trains/adra-barabhum-memu-6569.html
21,68077,Adra Bhaga MEMU,Adra Junction,Bhaga Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-bhaga-memu-6593.html
22,68075,Adra Bhojudih MEMU,Adra Junction,Bhojudih Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-bhojudih-memu-6591.html
23,68082,Adra Bishnupur MEMU,Adra Junction,Bishnupur,https://www.prokerala.com//travel/indian-railway/trains/adra-bishnupur-memu-6598.html
24,68084,Adra Bishnupur MEMU,Adra Junction,Bishnupur,https://www.prokerala.com//travel/indian-railway/trains/adra-bishnupur-memu-6600.html
25,68098,Adra Garhbeta MEMU,Adra Junction,Garhbeta,https://www.prokerala.com//travel/indian-railway/trains/adra-garhbeta-memu-6610.html
26,68041,Adra Junction Barkakana,Adra Junction,Barkakana,https://www.prokerala.com//travel/indian-railway/trains/adra-junction-barkakana-9484.html
27,68071,Adra Khanudih MEMU,Adra Junction,Khanudih,https://www.prokerala.com//travel/indian-railway/trains/adra-khanudih-memu-6587.html
28,68102,Adra Kharagpur Memu,Adra Junction,Kharagpur Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-kharagpur-memu-9748.html
29,68090,Adra Midnapore MEMU,Adra Junction,Midnapore,https://www.prokerala.com//travel/indian-railway/trains/adra-midnapore-memu-6604.html
30,68057,Adra Purulia MEMU,Adra Junction,Purulia Junction,https://www.prokerala.com//travel/indian-railway/trains/adra-purulia-memu-6573.html
31,22862,Adra Shalimar Rajya Rani Express,Adra Junction,Kolkata Shalimar,https://www.prokerala.com//travel/indian-railway/trains/adra-shalimar-rajya-rani-express-2126.html
32,79482,Adraj Moti Vijapur MG Rail Bus,Adraj Moti,Vijapur,https://www.prokerala.com//travel/indian-railway/trains/adraj-moti-vijapur-mg-rail-bus-7457.html
33,79484,Adraj Moti Vijapur MG Rail Bus,Adraj Moti,Vijapur,https://www.prokerala.com//travel/indian-railway/trains/adraj-moti-vijapur-mg-rail-bus-7459.html
34,52575,Agartala - Dharmanagar (Meter Gauge) Passenger,Darjeeling,Darjeeling Joy Ride,https://www.prokerala.com//travel/indian-railway/trains/agartala-dharmanagar-meter-gauge-passenger-3484.html
35,52579,Agartala - Dharmanagar (Meter Gauge) Passenger,Agartala,Dharmanagar,https://www.prokerala.com//travel/indian-railway/trains/agartala-dharmanagar-meter-gauge-passenger-3488.html
36,05665,Agartala - Dharmanagar Passenger Special,Agartala,Dharmanagar,https://www.prokerala.com//travel/indian-railway/trains/agartala-dharmanagar-passenger-special-7601.html
37,05652,Agartala - Guwahati Passenger Special,Agartala,Guwahati,https://www.prokerala.com//travel/indian-railway/trains/agartala-guwahati-passenger-special-7850.html
38,15696,Agartala - Lumding Express,Agartala,Lumding Junction,https://www.prokerala.com//travel/indian-railway/trains/agartala-lumding-express-5.html
39,52563,Agartala - Silchar (Meter Gauge) Passenger,Agartala,Silchar,https://www.prokerala.com//travel/indian-railway/trains/agartala-silchar-meter-gauge-passenger-3474.html
40,05663,Agartala - Silchar Passenger Special,Agartala,Silchar,https://www.prokerala.com//travel/indian-railway/trains/agartala-silchar-passenger-special-7599.html
41,00307,Agartala Ambala Cantonment Election Special,Agartala,Ambala Cantonment,https://www.prokerala.com//travel/indian-railway/trains/agartala-ambala-cantonment-election-special-9561.html
42,20501,Agartala Anand Vihar Terminal Rajdhani Express,Agartala,Anand Vihar Terminus,https://www.prokerala.com//travel/indian-railway/trains/agartala-anand-vihar-terminal-rajdhani-express-8678.html
43,12504,Agartala Bengaluru Cantt Humsafar Express,Agartala,Bangalore Cantonment,https://www.prokerala.com//travel/indian-railway/trains/agartala-bengaluru-cantt-humsafar-express-7895.html
44,15626,Agartala Deoghar Weekly Express,Agartala,Deoghar,https://www.prokerala.com//travel/indian-railway/trains/agartala-deoghar-weekly-express-9151.html
45,55675,Agartala Dharmanagar Passenger,Agartala,Dharmanagar,https://www.prokerala.com//travel/indian-railway/trains/agartala-dharmanagar-passenger-8106.html
46,55679,Agartala Dharmanagar Passenger,Agartala,Dharmanagar,https://www.prokerala.com//travel/indian-railway/trains/agartala-dharmanagar-passenger-8110.html
47,01666,Agartala Habibganj Special Fare Special,Agartala,Bhopal Habibganj,https://www.prokerala.com//travel/indian-railway/trains/agartala-habibganj-special-fare-special-9284.html
48,00356,Agartala Hatia Election Special,Agartala,Hatia,https://www.prokerala.com//travel/indian-railway/trains/agartala-hatia-election-special-10062.html
49,05604,Agartala Kolkata Chitpur Special,Agartala,Kolkata,https://www.prokerala.com//travel/indian-railway/trains/agartala-kolkata-chitpur-special-10162.html
50,07682,Agartala Sabroom  DEMU,Agartala,Sabroom,https://www.prokerala.com//travel/indian-railway/trains/agartala-sabroom-demu-9648.html
51,07684,Agartala Sabroom  DEMU,Agartala,Sabroom,https://www.prokerala.com//travel/indian-railway/trains/agartala-sabroom-demu-9650.html
52,07688,Agartala Sabroom  DEMU,Agartala,Sabroom,https://www.prokerala.com//travel/indian-railway/trains/agartala-sabroom-demu-9653.html
53,00514,Agartala Shri Mata Vaishno Devi Katra Bharat Darshan,Murkeongselek,Gogamukh,https://www.prokerala.com//travel/indian-railway/trains/agartala-shri-mata-vaishno-devi-katra-bharat-darshan-9922.html
54,55663,Agartala Silchar Passenger,Agartala,Silchar,https://www.prokerala.com//travel/indian-railway/trains/agartala-silchar-passenger-8104.html
55,55682,Agartala Udaipur Tripura Passenger,Agartala,Belonia,https://www.prokerala.com//travel/indian-railway/trains/agartala-udaipur-tripura-passenger-8113.html
56,55684,Agartala Udaipur Tripura Passenger,Agartala,Belonia,https://www.prokerala.com//travel/indian-railway/trains/agartala-udaipur-tripura-passenger-8115.html
57,12341,Agnibina Express,Howrah Junction,Asansol Junction,https://www.prokerala.com//travel/indian-railway/trains/agnibina-express-30.html
58,12342,Agnibina Express,Asansol Junction,Howrah Junction,https://www.prokerala.com//travel/indian-railway/trains/agnibina-express-31.html
59,12547,Agra Cantt Ahmedabad Super Fast Express,Agra Cantonment,Ahmedabad Junction,https://www.prokerala.com//travel/indian-railway/trains/agra-cantt-ahmedabad-super-fast-express-1582.html
60,64952,Agra Cantt Bayana MEMU,Agra Cantonment,Bayana Junction,https://www.prokerala.com//travel/indian-railway/trains/agra-cantt-bayana-memu-6428.html
61,51901,Agra Cantt Delhi Passenger,Agra Cantonment,Delhi,https://www.prokerala.com//travel/indian-railway/trains/agra-cantt-delhi-passenger-3267.html
62,64160,Agra Cantt Etawah MEMU,Agra Cantonment,Etawah,https://www.prokerala.com//travel/indian-railway/trains/agra-cantt-etawah-memu-6284.html
63,51882,Agra Cantt Gwalior Fast Passenger,Agra Cantonment,Gwalior,https://www.prokerala.com//travel/indian-railway/trains/agra-cantt-gwalior-fast-passenger-3262.html
